diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
22972-2021,J,MA-001572 - 2021,SUPERTECH LTD.,EMERALD COURT OWNER RESIDENT WELFARE ASSOCIATION,,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,04-10-2021,supremecourt/2021/22972/22972_2021_34_15_30537_Order_04-Oct-2021.pdf
23011-2019,J,C.A. No.-000802-000803 - 2021,SUBODH KUMAR,SHAMIM AHMED,ANUPAM MISHRA,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY",HON'BLE MR. JUSTICE ASHOK BHUSHAN,03-03-2021,supremecourt/2019/23011/23011_2019_37_1503_26664_Judgement_03-Mar-2021.pdf
23067-2013,J,C.A. No.-005934-005934 - 2021,M/S VIJETA CONSTRUCTION,M/S. INDUS SMELETERS LTD,ANUP JAIN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",,23-09-2021,supremecourt/2013/23067/23067_2013_43_7_30261_Order_23-Sep-2021.pdf
23134-2018,J,C.A. No.-005747-005747 - 2021,THE STATE OF RAJASTHAN,SHIV CHARAN MEENA,MILIND KUMAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,17-09-2021,supremecourt/2018/23134/23134_2018_32_21_30117_Judgement_17-Sep-2021.pdf
23141-2018,J,C.A. No.-005784-005798 - 2021,"MADAN LAL AND ORS.,ETC.",THE STATE OF PUNJAB ETC.,G. BALAJI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,20-09-2021,supremecourt/2018/23141/23141_2018_32_17_30157_Judgement_20-Sep-2021.pdf
23169-2021,J,R.P.(Crl.) No.-000414 - 2021,SANDEEP,THE STATE OF HARYANA,ABHAY KUMAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE THE CHIEF JUSTICE,08-12-2021,supremecourt/2021/23169/23169_2021_2_1003_31873_Judgement_08-Dec-2021.pdf
23183-2020,J,W.P.(C) No.-001410 - 2020,RACHNA,UNION OF INDIA,ANUSHREE PRASHIT KAPADIA,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,24-02-2021,supremecourt/2020/23183/23183_2020_42_1501_26418_Judgement_24-Feb-2021.pdf
23221-2014,J,Crl.A. No.-001306-001306 - 2017,YOGESH,THE STATE OF HARYANA,SUNIL PRAKASH SHARMA,MONIKA GUSAIN,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE",HON'BLE THE CHIEF JUSTICE,06-04-2021,supremecourt/2014/23221/23221_2014_34_101_27362_Judgement_06-Apr-2021.pdf
23235-2019,J,C.A. No.-005785 - 2019,IREO GRACE REALTECH PVT. LTD.,ABHISHEK KHANNA,E. C. AGRAWALA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,11-01-2021,supremecourt/2019/23235/23235_2019_38_1501_25365_Judgement_11-Jan-2021.pdf
23258-2019,J,Crl.A. No.-000296-000296 - 2021,PRITI SARAF,STATE OF NCT OF DELHI,NUPUR KUMAR,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MR. JUSTICE AJAY RASTOGI,10-03-2021,supremecourt/2019/23258/23258_2019_42_1502_26857_Judgement_10-Mar-2021.pdf
