diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
5-2021,J,MA-000083 - 2021,UNION OF INDIA,ASSOCIATION OF UNIFIED TELECOM SERVICEPROVIDERS OF INDIA AND  ORS,B. VIJAYALAKSHMI MENON,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE L. NAGESWARA RAO,23-07-2021,supremecourt/2021/5/5_2021_36_1501_28814_Judgement_23-Jul-2021.pdf
28-2021,J,C.A. No.-000867-000867 - 2021,INDEX MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTER,THE STATE OF MADHYA PRADESH,NISHIT AGRAWAL,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MS. JUSTICE INDIRA BANERJEE",HON'BLE MR. JUSTICE L. NAGESWARA RAO,03-02-2021,supremecourt/2021/28/28_2021_38_14_25922_Judgement_03-Feb-2021.pdf
70-2020,J,Crl.A. No.-000167-000167 - 2021,ARCHANA RANA,THE STATE OF UTTAR PRADESH,SANJEEV MALHOTRA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,01-03-2021,supremecourt/2020/70/70_2020_36_1503_26554_Judgement_01-Mar-2021.pdf
82-2021,J,SLP(C) No.-000811 - 2021,THE EMPLOYEES STATE INSURANCE CORPORATION,M/S. TEXMO INDUSTRIES,MRIDULA RAY BHARADWAJ,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MS. JUSTICE INDIRA BANERJEE,08-03-2021,supremecourt/2021/82/82_2021_43_13_26745_Judgement_08-Mar-2021.pdf
114-2021,J,C.A. No.-000390-000390 - 2021,KALOJI NARAYANA RAO UNIVERSITY OF HEALTH SCIENCES,SRIKEERTI REDDI PINGLE,VENKAT PALWAI LAW ASSOCIATES,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,16-02-2021,supremecourt/2021/114/114_2021_38_1501_26229_Judgement_16-Feb-2021.pdf
128-2018,J,C.A. No.-007639-007639 - 2021,IL AND FS ENGINEERING AND CONSTRUCTIONS COMPANY LTD.,M/S BHARGAVARAMA CONSTRUCTIONS,VISHNU SHANKAR JAIN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,16-12-2021,supremecourt/2018/128/128_2018_13_1502_32143_Judgement_16-Dec-2021.pdf
138-2017,J,C.A. No.-007554-007554 - 2021,MAHESH KUMAR AGARWAL (DEAD) BY LRS,NARESH CHANDRA .,ASHOK MATHUR,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,08-12-2021,supremecourt/2017/138/138_2017_10_3_31963_Judgement_08-Dec-2021.pdf
140-2021,J,Crl.A. No.-001288-001288 - 2021,PRADEEP S. WODEYAR,THE STATE OF KARNATAKA,LAWYER S KNIT & CO,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE THE CHIEF JUSTICE,29-11-2021,supremecourt/2021/140/140_2021_34_1501_31724_Judgement_29-Nov-2021.pdf
195-2021,J,C.A. No.-000995-000995 - 2021,"GOVERNMENT OF MAHARASHTRA, (WATER RESOURCES DEPARTMENT)",M/S BORSE BROTHERS ENGINEERS AND CONTRACTORS PVT. LTD.,SANDEEP SUDHAKAR DESHMUKH,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,19-03-2021,supremecourt/2021/195/195_2021_33_1501_27050_Judgement_19-Mar-2021.pdf
210-2020,J,C.A. No.-006251-006251 - 2021,STATE OF U.P.,SHYAM LAL JAISWAL,PRADEEP MISRA,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,07-10-2021,supremecourt/2020/210/210_2020_44_10_30663_Judgement_07-Oct-2021.pdf
212-2020,J,C.A. No.-000440-000441 - 2020,TATA CONSULTANCY SERVICES LIMITED,CYRUS INVESTMENTS PVT LTD,B. VIJAYALAKSHMI MENON,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,26-03-2021,supremecourt/2020/212/212_2020_31_1503_27229_Judgement_26-Mar-2021.pdf
214-2021,J,C.A. No.-000218 - 2021,TEJINDER KUMAR JOLLY,THE STATE OF UTTARAKHAND,SATISH KUMAR,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE HRISHIKESH ROY,18-11-2021,supremecourt/2021/214/214_2021_42_1502_31401_Judgement_18-Nov-2021.pdf
232-2021,J,Crl.A. No.-000257-000257 - 2021,THE STATE (GNCT OF DELHI) NARCOTICS CONTROL BUREAU,LOKESH CHADHA,B. V. BALARAM DAS,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,02-03-2021,supremecourt/2021/232/232_2021_36_8_26641_Judgement_02-Mar-2021.pdf
291-2017,J,Crl.A. No.-000462-000462 - 2019,SITA RAM,THE STATE OF RAJASTHAN,SUSHIL BALWADA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,28-10-2021,supremecourt/2017/291/291_2017_2_107_30917_Judgement_28-Oct-2021.pdf
316-2021,J,C.A. No.-000073-000074 - 2021,BHASIN INFOTECH AND INFRASTRUCTURE PRIVATE LIMITED,NEEMA AGARWAL,PALLAVI LANGAR,,,HON'BLE MR. JUSTICE VINEET SARAN,06-12-2021,supremecourt/2021/316/316_2021_39_1501_31834_Judgement_06-Dec-2021.pdf
320-2021,J,SLP(Crl) No.-000380 - 2021,SMT. REKHA SENGAR,THE STATE OF MADHYA PRADESH,TRILOKI NATH RAZDAN,,"HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR, HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE AJAY RASTOGI",,21-01-2021,supremecourt/2021/320/320_2021_40_13_25551_Order_21-Jan-2021.pdf
341-2019,J,C.A. No.-005819-005822 - 2021,RAJENDRA BAJORIA,HEMANT KUMAR JALAN,KARANJAWALA & CO.,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,21-09-2021,supremecourt/2019/341/341_2019_35_1501_30237_Judgement_21-Sep-2021.pdf
359-2021,J,T.P.(C) No.-000062 - 2021,PRIYANKA ARYA,ASHUTOSH ARYA,AJIT KUMAR EKKA,,HON'BLE MR. JUSTICE J.K. MAHESHWARI,HON'BLE MR. JUSTICE J.K. MAHESHWARI,01-10-2021,supremecourt/2021/359/359_2021_47_25_30533_Judgement_01-Oct-2021.pdf
403-2019,J,C.A. No.-005970-005970 - 2021,MR. RAJEEV NOHWAR,CHIEF CONTROLLING REVENUE AUTHORITY MAHARASHTRA STATE PUNE,VARUN SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,24-09-2021,supremecourt/2019/403/403_2019_34_20_30288_Judgement_24-Sep-2021.pdf
410-2021,J,Crl.A. No.-000422-000422 - 2021,RAMESH BHAVAN RATHOD,VISHANBHAI HIRABHAI MAKWANA MAKWANA (KOLI),JAIKRITI S. JADEJA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,20-04-2021,supremecourt/2021/410/410_2021_36_1501_27668_Judgement_20-Apr-2021.pdf
416-2019,J,C.A. No.-000495-000495 - 2021,VINOD PRASAD RATURI,UNION OF INDIA,SAROJ TRIPATHI,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,05-03-2021,supremecourt/2019/416/416_2019_38_1501_26707_Judgement_05-Mar-2021.pdf
429-2020,J,C.A. No.-000337-000337 - 2021,U.P. AWAS EVAM VIKASH PARISHAD,ASHA RAM(D) TH. LRS,VISHWAJIT SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE HEMANT GUPTA,23-03-2021,supremecourt/2020/429/429_2020_37_1503_27213_Judgement_23-Mar-2021.pdf
433-2021,J,Crl.A. No.-001045-001045 - 2021,CENTRAL BUREAU OF INVESTIGATION (CBI),THOMMANDRU HANNAH VIJAYALAKSHMI @ T.H. VIJAYALAKSHMI,ARVIND KUMAR SHARMA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,08-10-2021,supremecourt/2021/433/433_2021_34_1504_30692_Judgement_08-Oct-2021.pdf
444-2020,J,C.A. No.-005720-005720 - 2021,KARNATAKA RURAL INFRASTRUCTURE DEVELOPMENT LIMITED,T.P NATARAJA,ANIRUDH SANGANERIA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,21-09-2021,supremecourt/2020/444/444_2020_13_1501_30200_Judgement_21-Sep-2021.pdf
454-2019,J,W.P.(C) No.-000060 - 2019,PICHRA WARG KALYAN MAHASABHA HARYANA,THE STATE OF HARYANA,FARRUKH RASHEED,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE L. NAGESWARA RAO,24-08-2021,supremecourt/2019/454/454_2019_35_1501_29507_Judgement_24-Aug-2021.pdf
535-2018,J,Crl.A. No.-000255-000256 - 2018,BHAGCHANDRA,THE STATE OF MADHYA PRADESH,SRIDEVI PANIKKAR,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE B.R. GAVAI,09-12-2021,supremecourt/2018/535/535_2018_5_1501_31902_Judgement_09-Dec-2021.pdf
583-2020,J,W.P.(C) No.-000026 - 2020,MANISH KUMAR,UNION OF INDIA,VAIBHAV MANU SRIVASTAVA,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MR. JUSTICE K.M. JOSEPH,19-01-2021,supremecourt/2020/583/583_2020_33_1501_25559_Judgement_19-Jan-2021.pdf
740-2021,J,W.P.(C) No.-000054 - 2021,HARSHIT AGARWAL,UNION OF INDIA,KRISHNA DEV JAGARLAMUDI,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,08-02-2021,supremecourt/2021/740/740_2021_38_1501_25988_Judgement_08-Feb-2021.pdf
746-2021,J,W.P.(C) No.-000078 - 2021,MANJIT,UNION OF INDIA,RAJ KISHOR CHOUDHARY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE THE CHIEF JUSTICE,29-01-2021,supremecourt/2021/746/746_2021_36_21_25733_Judgement_29-Jan-2021.pdf
809-2021,J,SLP(C) No.-001240 - 2021,M/S DADDYS BUILDERS PVT. LTD.,MANISHA BHARGAVA,ROHIT AMIT STHALEKAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,11-02-2021,supremecourt/2021/809/809_2021_36_1501_26015_Judgement_11-Feb-2021.pdf
892-2021,J,T.P.(Crl.) No.-000017 - 2021,RAJKUMAR SABU,M/S SABU TRADE PRIVATE LIMITED,DIVYAKANT LAHOTI,,"HON'BLE MR. JUSTICE ANIRUDDHA BOSE, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE ANIRUDDHA BOSE,07-05-2021,supremecourt/2021/892/892_2021_34_1502_27998_Judgement_07-May-2021.pdf
920-2020,J,Crl.A. No.-001269-001270 - 2021,SRIPATI SINGH (SINCE DECEASED) THROUGH HIS SON GAURAV SINGH,THE STATE OF JHARKHAND,GAURAV DHINGRA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE A.S. BOPANNA,28-10-2021,supremecourt/2020/920/920_2020_13_1501_31011_Judgement_28-Oct-2021.pdf
928-2019,J,Crl.A. No.-000876-000876 - 2021,SHAKUNTALA SHUKLA,STATE OF UTTAR PRADESH,BHUWAN RAJ,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE M.R. SHAH,07-09-2021,supremecourt/2019/928/928_2019_13_1501_29807_Judgement_07-Sep-2021.pdf
976-2010,J,C.A. No.-004750-004750 - 2011,GEETA GUPTA,RAMESH CHANDRA DWIVEDI,KUMUD LATA DAS,KAMLENDRA MISHRA,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,20-09-2021,supremecourt/2010/976/976_2010_44_1502_30173_Judgement_20-Sep-2021.pdf
1141-2018,J,R.P.(C) No.-001054 - 2021,DELHI DEVELOPMENT AUTHORITY,GAURAV KUMAR,ASHWANI KUMAR,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,30-09-2021,supremecourt/2018/1141/1141_2018_44_10_30486_Judgement_30-Sep-2021.pdf
1154-2017,J,C.A. No.-002336-002336 - 2021,RIPUDAMAN SINGH,TIKKA MAHESHWAR CHAND,MAHESH THAKUR,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,06-07-2021,supremecourt/2017/1154/1154_2017_37_22_28282_Judgement_06-Jul-2021.pdf
1181-2021,J,C.A. No.-000693-000693 - 2021,PUNATSANGCHHU I HYDROELECTRIC PROJECT AUTHORITY,LARSEN AND TOUBRO LIMITED,AMIT PAWAN,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,22-02-2021,supremecourt/2021/1181/1181_2021_42_25_26361_Judgement_22-Feb-2021.pdf
1203-2016,J,C.A. No.-000805-000805 - 2021,MALLANAGUODA,NINGANAGOUDA,ANKOLEKAR GURUDATTA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,12-03-2021,supremecourt/2016/1203/1203_2016_37_1501_26892_Judgement_12-Mar-2021.pdf
1232-2021,J,Crl.A. No.-001415-001415 - 2021,SAGAR LOLIENKAR,THE STATE OF GOA,SHIVRAJ GAONKAR,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,18-11-2021,supremecourt/2021/1232/1232_2021_44_1501_31403_Judgement_18-Nov-2021.pdf
1233-2020,J,C.A. No.-006860-006860 - 2021,THE STATE OF UTTAR PRADESH,PANKAJ KUMAR,PRADEEP MISRA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE THE CHIEF JUSTICE,18-11-2021,supremecourt/2020/1233/1233_2020_34_1502_31393_Judgement_18-Nov-2021.pdf
1282-2020,J,C.A. No.-000845-000845 - 2021,PUNE METROPOLITAN REGIONAL DEVELOPMENT AUTHORITY (PMRDA),PRAKASH HARKACHAND PARAKH,B. K. PAL,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MR. JUSTICE AJAY RASTOGI,10-03-2021,supremecourt/2020/1282/1282_2020_42_10_26857_Judgement_10-Mar-2021.pdf
1316-2019,J,C.A. No.-000680-000680 - 2021,UNION OF INDIA,A. ALAGAM PERUMAL KONE,B. V. BALARAM DAS,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY",HON'BLE MR. JUSTICE ASHOK BHUSHAN,22-02-2021,supremecourt/2019/1316/1316_2019_37_1503_26355_Judgement_22-Feb-2021.pdf
1339-2018,J,C.A. No.-011480-011481 - 2018,UNION OF INDIA SECRETARY TO GOVERNMENT,A. SHAINAMOL IAS,ARVIND KUMAR SHARMA,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,22-10-2021,supremecourt/2018/1339/1339_2018_41_1501_30814_Judgement_22-Oct-2021.pdf
1384-2021,J,Crl.A. No.-000432-000432 - 2021,DHARMESH @ DHARMENDRA @ DHAMO JAGDISHBHAI @ JAGABHAI BHAGUBHAI RATADIA,THE STATE OF GUJARAT,ATUL KUMAR,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,07-07-2021,supremecourt/2021/1384/1384_2021_37_101_28357_Judgement_07-Jul-2021.pdf
1406-2018,J,W.P.(C) No.-000040 - 2018,SARASWATI EDUCATIONAL CHARITABLE TRUST,UNION OF INDIA,,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE L. NAGESWARA RAO,24-02-2021,supremecourt/2018/1406/1406_2018_31_1501_26545_Judgement_24-Feb-2021.pdf
1439-2020,J,C.A. No.-005829-005830 - 2021,CAPARO ENGINEERING INDIA LTD.,UMMED SINGH LODHI,PUNEET SINGH BINDRA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,26-10-2021,supremecourt/2020/1439/1439_2020_13_1503_30924_Judgement_26-Oct-2021.pdf
1500-2021,J,C.A. No.-000925-000926 - 2021,RAPID METRORAIL GURGAON LIMITED ETC.,HARYANA MASS RAPID TRANSPORT CORPORATION LIMITED,CYRIL AMARCHAND MANGALDAS AOR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,26-03-2021,supremecourt/2021/1500/1500_2021_35_1501_27232_Judgement_26-Mar-2021.pdf
1579-2021,J,C.A. No.-000843-000844 - 2021,BHARAT SANCHAR NIGAM LIMITED,M/S NORTEL NETWORKS INDIA PVT. LTD.,PRADEEP KUMAR MATHUR,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,10-03-2021,supremecourt/2021/1579/1579_2021_42_1501_26857_Judgement_10-Mar-2021.pdf
1632-2018,J,T.P.(C) No.-000113 - 2018,JYOTI JAISWAL,NEERAJ KUMAR GUPTA,BALRAJ DEWAN,A. RADHAKRISHNAN,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,22-11-2021,supremecourt/2018/1632/1632_2018_43_42_31441_Judgement_22-Nov-2021.pdf
1677-2007,J,C.A. No.-001844-001844 - 2010,H.S.GOUTHAM,RAMA MURTHY AND ANR. ETC.,BHARTI TYAGI,P. R. RAMASESH,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,12-02-2021,supremecourt/2007/1677/1677_2007_36_1501_26135_Judgement_12-Feb-2021.pdf
1775-2021,J,C.A. No.-001155-001155 - 2021,M/S RADHA KRISHAN INDUSTRIES,THE STATE OF HIMACHAL PRADESH,ADITYA SONI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,20-04-2021,supremecourt/2021/1775/1775_2021_36_1502_27668_Judgement_20-Apr-2021.pdf
1783-2021,J,C.A. No.-000418 - 2021,SURENDER KUMAR GUPTA,J.M. HOUSING LIMITED,SAURABH MISHRA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",,26-02-2021,supremecourt/2021/1783/1783_2021_36_16_26505_Order_26-Feb-2021.pdf
1845-2021,J,SLP(C) No.-002492 - 2021,K.P. NATARANJAN,MUTHALAMMAL,M.P. PARTHIBAN,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,16-07-2021,supremecourt/2021/1845/1845_2021_40_1501_28528_Judgement_16-Jul-2021.pdf
1855-2020,J,C.A. No.-006094-006095 - 2021,VISHWABANDHU,SRI KRISHNA,KAUSHAL YADAV,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,29-09-2021,supremecourt/2020/1855/1855_2020_2_1501_30469_Judgement_29-Sep-2021.pdf
1983-2021,J,C.A. No.-002848-002848 - 2021,SHUBHAS JAIN,RAJESHWARI SHIVAM,DILIP ANNASAHEB TAUR,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,20-07-2021,supremecourt/2021/1983/1983_2021_40_2_28636_Judgement_20-Jul-2021.pdf
2095-2021,J,C.A. No.-000720-000720 - 2021,SUBHASH,SUREKHA HANUMANT BANKAR,SHIRISH K. DESHPANDE,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,26-02-2021,supremecourt/2021/2095/2095_2021_35_8_26504_Order_26-Feb-2021.pdf
2113-2007,J,C.A. No.-010197-010197 - 2010,BHIMRAO RAMCHANDRA KHALATE (DECEASED) THROUGH LRS.,NANA DINKAR YADAV (TANPURA),T. HARISH KUMAR,ANAGHA S. DESAI,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE HEMANT GUPTA,13-08-2021,supremecourt/2007/2113/2113_2007_42_1501_29277_Judgement_13-Aug-2021.pdf
2177-2009,J,Crl.A. No.-000834-000834 - 2009,BHARATH BOOSHAN AGGARWAL,THE STATE OF KERALA,T. L. GARG,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,06-10-2021,supremecourt/2009/2177/2177_2009_2_1501_30674_Judgement_06-Oct-2021.pdf
2183-2019,J,C.A. No.-005781-005783 - 2021,SURYA EDUCATIONAL AND CHARITABLE TRUST,M/S SETIA BUILDERS ENGINEERS AND CONTRACTORS,VIVEK KISHORE,,"HON'BLE MR. JUSTICE SANJIV KHANNA, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE MR. JUSTICE SANJIV KHANNA,20-09-2021,supremecourt/2019/2183/2183_2019_47_2_30176_Judgement_20-Sep-2021.pdf
2201-2020,J,T.P.(C) No.-000195 - 2020,PRACHI JAIN,SHREYANSH JAIN,PIYUSH SHARMA,,HON'BLE MR. JUSTICE ABHAY S. OKA,HON'BLE MR. JUSTICE ABHAY S. OKA,03-12-2021,supremecourt/2020/2201/2201_2020_44_43_31807_Judgement_03-Dec-2021.pdf
2211-2020,J,C.A. No.-005122-005122 - 2021,THE DIRECTOR OF TREASURIES IN KARNATAKA,V. SOMYASHREE,V. N. RAGHUPATHY,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,13-09-2021,supremecourt/2020/2211/2211_2020_42_1502_29965_Judgement_13-Sep-2021.pdf
2266-2018,J,Crl.A. No.-000499-000500 - 2018,LOCHAN SHRIVAS,THE STATE OF CHHATTISGARH,PRERNA PRIYADARSHINI,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE B.R. GAVAI,14-12-2021,supremecourt/2018/2266/2266_2018_5_1501_32144_Judgement_14-Dec-2021.pdf
2286-2021,J,Crl.A. No.-001410-001410 - 2021,ATTORNEY GENERAL FOR INDIA,SATISH,POOJA DHAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,18-11-2021,supremecourt/2021/2286/2286_2021_32_1501_31537_Judgement_18-Nov-2021.pdf
2347-2019,J,C.A. No.-001137 - 2019,KAY BOUVET ENGINEERING LTD.,OVERSEAS INFRASTRUCTURE ALLIANCE (INDIA) PRIVATE LIMITED,AKSHAT KUMAR,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,10-08-2021,supremecourt/2019/2347/2347_2019_32_1503_29152_Judgement_10-Aug-2021.pdf
2356-2019,J,W.P.(C) No.-000116 - 2019,FORUM FOR PEOPLES COLLECTIVE EFFORTS (FPCE),THE STATE OF WEST BENGAL,DEVASHISH BHARUKA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,04-05-2021,supremecourt/2019/2356/2356_2019_35_1501_27914_Judgement_04-May-2021.pdf
2357-2009,J,C.A. No.-005160-005160 - 2010,J.CHITRA,DISTRICT COLLECTOR,SHOBHA RAMAMOORTHY,D.KUMANAN,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE L. NAGESWARA RAO,02-09-2021,supremecourt/2009/2357/2357_2009_35_1501_29719_Judgement_02-Sep-2021.pdf
